task,model,budget,is_optimum,N,m,feasible,true_mean,true_se,reported_mean,bias,regret
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,False,1,1000,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,True,5,200,True,0.8674888888888889,0.0006044701832891774,0.8699833333333333,0.0024944444444444354,0.008133333333333336
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,False,10,100,True,0.8655777777777778,0.0007404360825240511,0.8798,0.01422222222222222,0.01382222222222223
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,False,25,40,True,0.8629888888888888,0.0009252902810108397,0.8997499999999998,0.036761111111111106,0.019500000000000017
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,False,50,20,True,0.8614777777777778,0.0009717957869267086,0.9191666666666667,0.05768888888888887,0.023544444444444465
agnews,Qwen/Qwen2.5-1.5B-Instruct,1000,False,100,10,True,0.8558,0.0012824613242454171,0.9400000000000002,0.08420000000000001,0.03082222222222226
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,False,1,2000,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,False,5,400,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,True,10,200,True,0.868188888888889,0.0005785758288051152,0.8764500000000001,0.008261111111111111,0.0102888888888889
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,False,25,80,True,0.8658333333333333,0.0008589521730718904,0.8874583333333331,0.021624999999999995,0.016877777777777794
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,False,50,40,True,0.8619444444444444,0.000983633986290172,0.9030000000000001,0.04105555555555555,0.02306666666666669
agnews,Qwen/Qwen2.5-1.5B-Instruct,2000,False,100,20,True,0.8585888888888888,0.0011723325109573538,0.9248333333333335,0.06624444444444443,0.028055555555555594
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,False,1,5000,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,False,5,1000,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,False,10,500,False,,,,,
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,True,25,200,True,0.8713444444444446,0.0005187189274896309,0.8807000000000001,0.00935555555555556,0.011277777777777796
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,False,50,100,True,0.8678444444444445,0.0007379694225757866,0.89,0.02215555555555556,0.017155555555555584
agnews,Qwen/Qwen2.5-1.5B-Instruct,5000,False,100,50,True,0.8638777777777779,0.0008823381341715524,0.9069333333333335,0.04305555555555555,0.02277777777777782
