task,model,N,m,n_seeds,mean_reported,mean_true,bias,bias_se,item_bias,pool_bias,regret,regret_se,bias_lo,bias_hi,bias_adj,regret_lo,regret_hi,split_offset
agnews,Qwen/Qwen2.5-1.5B-Instruct,1,20,500,0.8605,0.8565999999999999,0.003899999999999995,0.0033271187894149123,0.005533333333333333,-0.0016333333333333378,0.0,0.0,-0.0014476666666666724,0.009286999999999995,0.005251351351351444,0.0,0.0,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,1,50,500,0.84904,0.85248,-0.0034400000000000095,0.0022445409963116744,-0.0017600000000000092,-0.0016799999999999999,0.0,0.0,-0.007222333333333343,0.00031366666666665834,-0.002088648648648561,0.0,0.0,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,1,100,500,0.8543599999999999,0.8567266666666666,-0.002366666666666678,0.0014320962177631926,-0.0005933333333333428,-0.0017733333333333344,0.0,0.0,-0.004675000000000012,3.333333333332213e-05,-0.0010153153153152294,0.0,0.0,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,1,200,500,0.8544400000000001,0.8557266666666666,-0.001286666666666686,0.0009099025226677144,6.666666666665266e-05,-0.0013533333333333385,0.0,0.0,-0.0027600000000000163,0.00020016666666664926,6.468468468476263e-05,0.0,0.0,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,5,20,500,0.8924,0.8606333333333334,0.03176666666666665,0.0031730926608071397,0.032673333333333325,-0.0009066666666666716,0.014926666666666666,0.0007580271244182616,0.02663933333333332,0.037020666666666646,0.0331180180180181,0.013719333333333333,0.016193666666666665,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,5,50,500,0.8810800000000001,0.8631133333333334,0.017966666666666662,0.0019952621459223825,0.018033333333333332,-6.666666666667021e-05,0.012226666666666669,0.0006415054105124654,0.014632333333333329,0.02124733333333333,0.01931801801801811,0.011173333333333335,0.013220333333333337,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,5,100,500,0.87676,0.8656133333333335,0.011146666666666664,0.0013156278001671686,0.010673333333333333,0.0004733333333333307,0.01005333333333334,0.0005555281578637308,0.008992666666666664,0.013253333333333334,0.012498018018018113,0.009140000000000007,0.010966666666666673,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,5,200,500,0.87088,0.8675066666666666,0.0033733333333333267,0.00072539972779546,0.002739999999999995,0.000633333333333332,0.007806666666666672,0.00044238367707975443,0.002213166666666658,0.004573499999999993,0.004724684684684776,0.007100000000000006,0.008553333333333336,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,10,20,500,0.8885,0.8603866666666667,0.028113333333333324,0.003208947230650988,0.02843333333333333,-0.00032000000000000604,0.01889333333333334,0.0008020483684872179,0.022832999999999992,0.03351466666666665,0.029464684684684772,0.017633333333333345,0.020220000000000002,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,10,50,500,0.89232,0.8633666666666667,0.02895333333333333,0.0019105550319079496,0.027739999999999994,0.0012133333333333319,0.015640000000000008,0.0006712789018444243,0.02583933333333333,0.031846666666666655,0.03030468468468478,0.014546666666666682,0.01674000000000001,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,10,100,500,0.8807200000000001,0.8666600000000001,0.014060000000000005,0.0013130595932536026,0.012700000000000006,0.0013599999999999964,0.013206666666666679,0.0005541800027024026,0.012006333333333334,0.01630666666666667,0.015411351351351453,0.012333333333333347,0.014113333333333342,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,10,200,500,0.87599,0.8699466666666668,0.006043333333333334,0.0007321319332392706,0.004149999999999995,0.0018933333333333393,0.00921333333333335,0.0004417608134995667,0.0048365000000000005,0.007240166666666668,0.007394684684684782,0.008499666666666678,0.009973666666666683,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,25,20,500,0.9071999999999999,0.8607533333333334,0.04644666666666666,0.0029853559456900864,0.04636666666666666,7.999999999999385e-05,0.022106666666666684,0.0008108122605959745,0.041532999999999994,0.05122066666666665,0.047798018018018106,0.020773333333333352,0.02344666666666668,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,25,50,500,0.89524,0.8637466666666667,0.031493333333333325,0.0018780411157427828,0.02930666666666667,0.0021866666666666597,0.019173333333333348,0.0006799363402949627,0.028312999999999994,0.034606999999999985,0.03284468468468477,0.01805333333333335,0.020320000000000015,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,25,100,500,0.8880399999999999,0.86658,0.021460000000000007,0.0012063270816132109,0.017906666666666675,0.0035533333333333324,0.016420000000000014,0.0006183659088589235,0.019420000000000003,0.02344700000000001,0.022811351351351455,0.01544000000000002,0.017386666666666686,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,25,200,500,0.87973,0.8703533333333333,0.009376666666666676,0.0007631651764969894,0.004463333333333333,0.0049133333333333425,0.012353333333333357,0.0004430507987157998,0.008179833333333338,0.010663666666666675,0.010728018018018124,0.011666666666666691,0.013106666666666692,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,50,20,500,0.9123,0.8586133333333333,0.05368666666666665,0.002679522967079524,0.05239999999999999,0.0012866666666666614,0.026633333333333356,0.0008779682928860776,0.049306666666666644,0.058013999999999975,0.0550380180180181,0.02524666666666669,0.028060333333333354,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,50,50,500,0.9,0.8628466666666667,0.03715333333333333,0.0017845466190305054,0.03419333333333333,0.002959999999999993,0.022380000000000032,0.0007818955095422607,0.03430666666666666,0.04024066666666667,0.03850468468468478,0.02109966666666669,0.02374000000000003,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,50,100,500,0.88974,0.8672266666666667,0.02251333333333334,0.0013135259209984078,0.018153333333333344,0.0043599999999999976,0.0179266666666667,0.0005944730971146239,0.020379,0.024600333333333335,0.02386468468468479,0.016953000000000024,0.018860333333333364,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,50,200,500,0.88325,0.8701733333333334,0.01307666666666668,0.000740238501708847,0.005610000000000007,0.00746666666666667,0.015020000000000033,0.00045696480572067613,0.011856500000000011,0.014283500000000013,0.014428018018018128,0.014280000000000032,0.0157866666666667,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,100,20,500,0.9275,0.8578866666666667,0.06961333333333332,0.0026588502009335215,0.06573999999999999,0.0038733333333333246,0.02874000000000004,0.0008943166006186298,0.06527266666666665,0.07393433333333332,0.07096468468468477,0.027333333333333376,0.030240333333333376,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,100,50,500,0.9036000000000001,0.8638533333333335,0.03974666666666665,0.001703874741236339,0.03662000000000001,0.00312666666666666,0.022733333333333376,0.0007056031118858575,0.03678633333333333,0.04243333333333333,0.0410980180180181,0.02161300000000004,0.023913333333333377,-0.0013513513513514486
agnews,Qwen/Qwen2.5-1.5B-Instruct,100,100,500,0.89264,0.8656400000000001,0.027000000000000014,0.0012238809820424945,0.018993333333333348,0.008006666666666665,0.02099333333333338,0.0006053497859861303,0.02494566666666668,0.02900000000000001,0.028351351351351462,0.02002633333333338,0.02200700000000005,-0.0013513513513514486
