task,model,N,m,n_seeds,mean_reported,mean_true,bias,bias_se,item_bias,pool_bias,regret,regret_se,bias_lo,bias_hi,bias_adj,regret_lo,regret_hi,split_offset
sst2,Qwen/Qwen2.5-1.5B-Instruct,1,20,500,0.855,0.8711066666666667,-0.01610666666666666,0.003329830410598852,-0.0010733333333333363,-0.015033333333333326,0.0,0.0,-0.02164866666666666,-0.010817666666666666,-0.0009638095238095369,0.0,0.0,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,1,50,500,0.8556,0.8690266666666666,-0.013426666666666667,0.0020797034027952893,0.0032199999999999963,-0.01664666666666666,0.0,0.0,-0.016739999999999998,-0.01001833333333333,0.001716190476190458,0.0,0.0,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,1,100,500,0.85076,0.8667066666666667,-0.015946666666666658,0.0014598412873595779,-0.0004666666666666601,-0.015479999999999997,0.0,0.0,-0.018360333333333326,-0.013639666666666656,-0.000803809523809533,0.0,0.0,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,1,200,500,0.8559300000000001,0.8700466666666666,-0.014116666666666649,0.000901559486614554,0.0007300000000000148,-0.014846666666666664,0.0,0.0,-0.015673333333333317,-0.012649833333333315,0.0010261904761904757,0.0,0.0,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,5,20,500,0.9283,0.9153066666666666,0.012993333333333329,0.002743708399716789,0.028059999999999988,-0.015066666666666659,0.015559999999999997,0.0009840610850475068,0.008592999999999996,0.01740766666666666,0.028136190476190454,0.013986666666666668,0.017206666666666662,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,5,50,500,0.92228,0.9199866666666667,0.002293333333333334,0.0016575613403345647,0.01639999999999999,-0.014106666666666656,0.010039999999999995,0.0006522123083195997,-0.00027333333333332997,0.004940333333333331,0.01743619047619046,0.009019333333333329,0.011079999999999994,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,5,100,500,0.9153999999999999,0.9220266666666667,-0.006626666666666642,0.0012282202412569078,0.006800000000000012,-0.013426666666666654,0.007993333333333331,0.0005396667205112278,-0.008660333333333308,-0.0046526666666666435,0.008516190476190483,0.007133333333333332,0.008880333333333332,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,5,200,500,0.9124300000000001,0.9246466666666666,-0.012216666666666626,0.0007399030881313574,0.002396666666666695,-0.014613333333333322,0.005246666666666668,0.00041279157289629526,-0.013396833333333294,-0.010999499999999959,0.002926190476190499,0.00454,0.005940333333333336,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,10,20,500,0.9361,0.9163266666666667,0.01977333333333333,0.0024412736180528484,0.034753333333333324,-0.01497999999999999,0.019686666666666654,0.0010417382233271323,0.01568633333333333,0.023953333333333326,0.034916190476190455,0.01810633333333332,0.02142133333333332,-0.015142857142857125
sst2,Qwen/Qwen2.5-1.5B-Instruct,10,50,500,0.9273599999999999,0.9225333333333333,0.004826666666666671,0.0015865113905485307,0.018753333333333327,-0.013926666666666655,0.013566666666666652,0.0007267681469591414,0.0022130000000000045,0.007473666666666673,0.019969523809523795,0.01241333333333332,0.014766666666666652,-0.015142857142857125
