task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,50,0.011083333333333329,0.011083333333333329,0.0013082777777777765,0.03617012272273591,0.84,0.10970936129900305
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,50,-0.006449999999999991,0.006449999999999991,0.0029338333333333334,0.054164871765133286,0.885,0.167950204177278
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,50,-0.060995365967279475,0.060995365967279475,0.005451416803919382,0.07383371048457055,0.845,0.1718040943444648
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,50,-0.018443924211880076,0.018443924211880076,0.0015480780111805136,0.039345622516113704,0.915,0.1324417258152346
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,50,-0.014362666666666626,0.014362666666666626,0.0015877329777777755,0.03984636718419605,0.975,0.18433650288727854
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,50,-0.002188666666666667,0.002188666666666667,0.0013701900777777754,0.0370160786385832,0.85,0.11027480254207857
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,100,-0.005916666666666643,0.005916666666666643,0.0005986111111111099,0.024466530426505307,0.925,0.08820269106861289
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,100,-0.020183333333333327,0.020183333333333327,0.0024334999999999995,0.049330517937682346,0.84,0.1354873247355461
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,100,-0.05890973934531532,0.05890973934531532,0.004198730855748673,0.06479761458378443,0.68,0.138124798817194
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,100,-0.027708202419129115,0.027708202419129115,0.0013503446395392743,0.0367470357925544,0.91,0.10690707054473751
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,100,-0.025203999999999973,0.025203999999999973,0.0013579823999999969,0.03685081274544697,0.985,0.13731579503798252
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,100,-0.017015916666666634,0.017015916666666634,0.0009471443402777757,0.030775710231898398,0.9,0.087650045263528
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,200,-0.00959166666666663,0.00959166666666663,0.0003668749999999988,0.019153981309377923,0.925,0.06336288290172122
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,200,-0.016766666666666645,0.016766666666666645,0.0011541111111111103,0.03397221086581075,0.87,0.09347400661424951
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,200,-0.04689527554460535,0.04689527554460535,0.0025118871415213493,0.050118730446025356,0.545,0.09922583253689492
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,200,-0.02520404225506325,0.02520404225506325,0.0009206164015535723,0.030341661153496065,0.81,0.077106224681331
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,200,-0.020442999999999975,0.020442999999999975,0.0007553102888888877,0.027482909032503958,0.97,0.09503733707452476
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,200,-0.016947166666666617,0.016947166666666617,0.0005950964708333315,0.024394599214443584,0.795,0.06325600824026258
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,50,0.015033333333333334,0.015033333333333334,0.0016421111111111098,0.04052297016645139,0.755,0.10738193210194945
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,50,-0.019149999999999983,0.019149999999999983,0.0038341666666666663,0.06192064814475593,0.87,0.1820790565858622
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,50,-0.07849032709263884,0.07849032709263884,0.008338360400525874,0.0913146231472587,0.72,0.18789669997493236
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,50,-0.01776758881565028,0.01776758881565028,0.0017249018859288512,0.041531938143179056,0.925,0.132028635333438
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,50,-0.021009999999999952,0.021009999999999952,0.002297395466666664,0.0479311534043013,0.97,0.1909492639179354
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,50,-0.0029896666666666648,0.0029896666666666648,0.0017506931777777756,0.04184128556554848,0.8,0.10685824018263693
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,100,0.001450000000000014,0.001450000000000014,0.0005873888888888877,0.024236107131486436,0.9,0.08373298384113333
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,100,-0.02203333333333333,0.02203333333333333,0.0022757777777777767,0.04770511270060869,0.88,0.13445824185616945
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,100,-0.06600725544846658,0.06600725544846658,0.005120863393580624,0.07156020817172504,0.64,0.14651581541544695
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,100,-0.022441053985678944,0.022441053985678944,0.0010716258103766745,0.03273569627145075,0.925,0.10340122584811301
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,100,-0.022341333333333307,0.022341333333333307,0.0012690943999999966,0.03562435122216258,0.99,0.13577390464852793
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,100,-0.012676999999999973,0.012676999999999973,0.0008769701388888864,0.029613681616592127,0.86,0.08367448620453297
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,200,-0.0038583333333332926,0.0038583333333332926,0.0002519583333333322,0.015873195435492257,0.965,0.06127174085745193
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,200,-0.01814999999999997,0.01814999999999997,0.0010051666666666655,0.031704363527228635,0.905,0.09403757421551337
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,200,-0.05165903686580565,0.05165903686580565,0.002942105172396195,0.05424117598647908,0.53,0.10721317528449864
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,200,-0.020962847881520225,0.020962847881520225,0.0006719487645323012,0.02592197454925649,0.9,0.07590405025013933
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,200,-0.021053333333333323,0.021053333333333323,0.0007597095555555547,0.027562829237136648,0.97,0.09461846422048589
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,200,-0.01372308333333327,0.01372308333333327,0.00045672350833333086,0.021371090480678118,0.86,0.061031317358791935
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,50,0.018299999999999997,0.018299999999999997,0.0017315555555555539,0.04161196409153927,0.765,0.10421026487811774
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,50,-0.018999999999999986,0.018999999999999986,0.0038544444444444425,0.06208417225383973,0.895,0.18221518817481835
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,50,-0.08911488623040963,0.08911488623040963,0.01024025238913844,0.10119413218728861,0.63,0.19578272612470307
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,50,-0.014628896227792168,0.014628896227792168,0.001555659731237686,0.03944185253303509,0.925,0.12790265664489192
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,50,-0.023155333333333278,0.023155333333333278,0.0022354379555555516,0.04728041830986219,0.97,0.1924740320578396
