task,model,budget,is_optimum,N,m,feasible,true_mean,true_se,reported_mean,bias,regret
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,False,1,1000,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,False,5,200,True,0.9109777777777777,0.00094832329145401,0.9106333333333333,-0.00034444444444441466,0.007088888888888893
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,True,10,100,True,0.9130333333333333,0.000766621425967139,0.9206,0.007566666666666683,0.012500000000000011
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,False,25,40,True,0.9088777777777777,0.0010225378392436548,0.9444166666666667,0.035538888888888884,0.02260000000000001
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,False,50,20,True,0.9054888888888888,0.0013399384273384274,0.965,0.059511111111111105,0.029177777777777775
sst2,meta-llama/Llama-3.2-3B-Instruct,1000,False,100,10,True,0.8983222222222222,0.001730118673354615,0.9779999999999999,0.07967777777777779,0.03821111111111109
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,False,1,2000,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,False,5,400,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,False,10,200,True,0.9128777777777778,0.0007658799597874317,0.9183166666666667,0.00543888888888892,0.013133333333333348
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,True,25,80,True,0.9133888888888888,0.0008738685889467366,0.9322083333333334,0.018819444444444444,0.01837777777777779
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,False,50,40,True,0.9104666666666666,0.000896344614409823,0.95375,0.043283333333333326,0.023722222222222224
sst2,meta-llama/Llama-3.2-3B-Instruct,2000,False,100,20,True,0.9058222222222221,0.001169026475053719,0.9665000000000001,0.060677777777777754,0.030688888888888866
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,False,1,5000,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,False,5,1000,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,False,10,500,False,,,,,
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,True,25,200,True,0.916711111111111,0.0007556670300522733,0.92205,0.0053388888888889225,0.014988888888888902
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,False,50,100,True,0.9146777777777777,0.0007926483609322144,0.9355666666666665,0.020888888888888887,0.019577777777777784
sst2,meta-llama/Llama-3.2-3B-Instruct,5000,False,100,50,True,0.9123555555555557,0.0008762234049052147,0.9495333333333333,0.03717777777777776,0.024122222222222205
