task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,10,50,0.02343333333333332,0.02343333333333332,0.0019149999999999987,0.043760712974082114,0.765,0.11180084046851729
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,10,50,1.6666666666666498e-05,1.6666666666666498e-05,0.003579611111111111,0.05982985133786571,0.85,0.1747373644871609
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,10,50,-0.04926528914021632,0.04926528914021632,0.004298735561841387,0.06556474328357724,0.895,0.1750793361315298
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,10,50,-0.01002267286742473,0.01002267286742473,0.0014547658997567047,0.0381413935214316,0.915,0.13816649973371142
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,10,50,-0.008464666666666622,0.008464666666666622,0.0019353485333333314,0.043992596346809666,0.93,0.1921341560193156
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,10,50,0.005409833333333319,0.005409833333333319,0.001775665749999999,0.042138649124052366,0.795,0.1113620238126588
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,10,100,0.008683333333333347,0.008683333333333347,0.0007179444444444442,0.02679448533643526,0.875,0.08836988139664038
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,10,100,-0.011383333333333336,0.011383333333333336,0.001724611111111111,0.04152843737863383,0.895,0.13694147750348074
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,10,100,-0.044331155271485304,0.044331155271485304,0.0027526345228836313,0.052465555585389845,0.865,0.13838661770438662
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,10,100,-0.01604214666186184,0.01604214666186184,0.0009060322268189587,0.030100369213997336,0.965,0.10986396319217223
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,10,100,-0.013826666666666652,0.013826666666666652,0.000972878044444443,0.03119099300189789,0.985,0.13976516535091116
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,10,100,-0.0048436666666666385,0.0048436666666666385,0.0007590562361111105,0.027550975229764744,0.905,0.08769332268135344
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,10,200,0.0032916666666666992,0.0032916666666666992,0.00027520833333333363,0.016589404248897356,0.93,0.06367940115958698
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,10,200,-0.006433333333333322,0.006433333333333322,0.000723111111111111,0.026890725373464937,0.925,0.09560095090986899
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,10,200,-0.034004061866321385,0.034004061866321385,0.001456684606582854,0.03816653778616622,0.87,0.09972149792034303
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,10,200,-0.014346507283388162,0.014346507283388162,0.0004895113216584617,0.022124902749130034,0.955,0.07945524662604528
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,10,200,-0.010868000000000011,0.010868000000000011,0.0004646152444444447,0.021554935500818478,0.985,0.09640956081979755
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,10,200,-0.005611958333333286,0.005611958333333286,0.0003208146552083329,0.017911299651570036,0.925,0.06364088784960309
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,25,50,0.03146666666666665,0.03146666666666665,0.0022297777777777763,0.0472205228452394,0.67,0.10510671792857902
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,25,50,-0.007983333333333335,0.007983333333333335,0.0035820555555555553,0.059850276152709235,0.875,0.18521512644792165
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,25,50,-0.06172905126816607,0.06172905126816607,0.005727344920579141,0.07567922383705544,0.865,0.18391553455404366
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,25,50,-0.005675553850031939,0.005675553850031939,0.0012800764248235357,0.035778155693433046,0.92,0.13264228289964708
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,25,50,-0.01270866666666663,0.01270866666666663,0.0018022317333333318,0.0424526999533991,0.98,0.1964474174795986
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,25,50,0.008697666666666657,0.008697666666666657,0.0017089446777777762,0.04133938410012631,0.76,0.10434648177490871
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,25,100,0.015516666666666665,0.015516666666666665,0.0008796111111111101,0.02965823850317328,0.77,0.08293179330708345
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,25,100,-0.010300000000000002,0.010300000000000002,0.0019574444444444444,0.04424301577022575,0.855,0.13474262974141474
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,25,100,-0.0514810080673779,0.0514810080673779,0.003498691649714903,0.05914973921933133,0.835,0.14511389374713307
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,25,100,-0.012008816244436133,0.012008816244436133,0.0007716782703322883,0.027779097723509456,0.965,0.1058202452076273
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,25,100,-0.01339533333333331,0.01339533333333331,0.0010072642666666648,0.03173742690683454,0.985,0.13763807932172317
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,25,100,-0.0019035833333333207,0.0019035833333333207,0.0007699028486111097,0.027747123249286756,0.885,0.08317148529934143
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,25,200,0.005600000000000038,0.005600000000000038,0.00029597222222222297,0.01720384323987588,0.91,0.06254997234316476
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,25,200,-0.011633333333333318,0.011633333333333318,0.0007907777777777782,0.028120771287035818,0.915,0.09695290332482756
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,25,200,-0.04210314572936994,0.04210314572936994,0.002066791811467751,0.04546198204508632,0.77,0.10944982230013878
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,25,200,-0.014168507354305984,0.014168507354305984,0.0004548172688037433,0.02132644529225964,0.98,0.08005267478139298
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,25,200,-0.01356633333333334,0.01356633333333334,0.0004659678888888895,0.02158628937286095,0.99,0.09791095802827642
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,25,200,-0.00724299999999994,0.00724299999999994,0.00033949535347222175,0.01842539968283515,0.905,0.06249658620662348
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,50,50,0.03284999999999998,0.03284999999999998,0.0022433888888888868,0.04736442640726146,0.63,0.10221635042999705
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,50,50,-0.004566666666666666,0.004566666666666666,0.003457555555555555,0.05880098260705815,0.895,0.1822427605554617
sst2,meta-llama/Llama-3.2-3B-Instruct,union_K,Union bound over K,50,50,-0.07508311131315114,0.07508311131315114,0.007512769437674105,0.08667623340728475,0.82,0.1920367035349987
sst2,meta-llama/Llama-3.2-3B-Instruct,union_neff,Union bound over N_eff,50,50,-0.0060566035291776685,0.0060566035291776685,0.0011564668096634462,0.034006864155100305,0.93,0.13002527893302523
sst2,meta-llama/Llama-3.2-3B-Instruct,cross_fit,Cross-fitting,50,50,-0.014653333333333296,0.014653333333333296,0.0016954140444444424,0.04117540582003342,0.995,0.19819024323277695
sst2,meta-llama/Llama-3.2-3B-Instruct,bootstrap,Bootstrap plug-in,50,50,0.007853499999999987,0.007853499999999987,0.0015838514722222201,0.03979763149010529,0.78,0.10256940339572031
sst2,meta-llama/Llama-3.2-3B-Instruct,none,No correction,50,100,0.021999999999999992,0.021999999999999992,0.000995999999999999,0.03155946767611899,0.755,0.07956253735396761
sst2,meta-llama/Llama-3.2-3B-Instruct,split,Naive split,50,100,-0.0073333333333333315,0.0073333333333333315,0.0015518888888888887,0.039394020978936496,0.885,0.13330109778192561
