task,model,budget,is_optimum,N,m,feasible,true_mean,true_se,reported_mean,bias,regret
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,False,1,1000,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,False,5,200,True,0.5713666666666667,0.0022410362067734127,0.6134833333333334,0.04211666666666667,0.008000000000000004
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,False,10,100,True,0.5792333333333333,0.002435978973385478,0.6399333333333334,0.060700000000000004,0.01704444444444445
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,True,25,40,True,0.5883333333333334,0.0022249054777646153,0.6953333333333334,0.10700000000000003,0.031822222222222224
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,False,50,20,True,0.5797,0.0024257733439287865,0.753,0.1733,0.051988888888888904
subj,Qwen/Qwen2.5-1.5B-Instruct,1000,False,100,10,True,0.5645,0.0028338579093377045,0.828,0.2635,0.07174444444444449
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,False,1,2000,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,False,5,400,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,False,10,200,True,0.5894555555555555,0.0020022592425568654,0.6369333333333334,0.047477777777777785,0.009222222222222227
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,True,25,80,True,0.5961,0.0018690013668408762,0.6749166666666666,0.07881666666666667,0.023500000000000007
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,False,50,40,True,0.5893777777777778,0.0021058790217950785,0.7161666666666666,0.1267888888888889,0.04116666666666668
subj,Qwen/Qwen2.5-1.5B-Instruct,2000,False,100,20,True,0.5843777777777777,0.0024085026998901223,0.7748333333333333,0.19045555555555557,0.05197777777777783
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,False,1,5000,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,False,5,1000,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,False,10,500,False,,,,,
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,False,25,200,True,0.6055111111111111,0.0015312083034835064,0.6593833333333333,0.05387222222222225,0.011755555555555564
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,True,50,100,True,0.6082,0.001477043457871157,0.6863333333333334,0.07813333333333335,0.02311111111111113
subj,Qwen/Qwen2.5-1.5B-Instruct,5000,False,100,50,True,0.6013888888888889,0.0014840878071001337,0.7193999999999999,0.11801111111111112,0.03502222222222227
