task,model,N,m,n_seeds,mean_reported,mean_true,bias,bias_se,item_bias,pool_bias,regret,regret_se,bias_lo,bias_hi,bias_adj,regret_lo,regret_hi,split_offset
subj,Qwen/Qwen2.5-1.5B-Instruct,1,20,500,0.5393,0.5131733333333333,0.02612666666666667,0.005048585490325827,0.001666666666666666,0.02446000000000001,0.0,0.0,0.017831666666666673,0.034348333333333335,0.002402942942943003,0.0,0.0,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,1,50,500,0.5404000000000001,0.5162533333333333,0.02414666666666667,0.003012393549398814,0.0014733333333333324,0.02267333333333334,0.0,0.0,0.019412666666666672,0.029031666666666664,0.000422942942943004,0.0,0.0,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,1,100,500,0.5390199999999999,0.51536,0.023660000000000004,0.002264105177685515,-0.0004533333333333347,0.024113333333333344,0.0,0.0,0.01997133333333334,0.02742033333333334,-6.37237237236625e-05,0.0,0.0,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,1,200,500,0.5424800000000001,0.5170466666666667,0.02543333333333334,0.001516495068360759,0.0010133333333333329,0.024420000000000008,0.0,0.0,0.022922833333333344,0.027893500000000005,0.0017096096096096726,0.0,0.0,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,5,20,500,0.6513,0.5446733333333335,0.10662666666666666,0.004286073557695065,0.07498666666666666,0.03164000000000001,0.03084666666666667,0.0018413439129947877,0.09981333333333335,0.11357366666666667,0.082902942942943,0.028072666666666673,0.033800666666666666,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,5,50,500,0.62444,0.5562866666666666,0.06815333333333333,0.0028477709252905693,0.034293333333333335,0.03386000000000001,0.019853333333333337,0.0014456844924629788,0.06339833333333335,0.07287566666666666,0.04442960960960966,0.017573000000000002,0.02227366666666667,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,5,100,500,0.6160399999999999,0.5651733333333334,0.05086666666666666,0.002045575137749098,0.01649333333333333,0.03437333333333333,0.013220000000000003,0.0011204148403088582,0.04733966666666667,0.054233666666666666,0.02714294294294299,0.011446666666666673,0.015207333333333337,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,5,200,500,0.6090699999999999,0.5683066666666666,0.04076333333333333,0.0014185922235379178,0.003589999999999999,0.037173333333333336,0.0078066666666666675,0.0007280528290197678,0.03856650000000001,0.04313350000000001,0.017039609609609666,0.006620000000000001,0.00902,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,10,20,500,0.6872999999999999,0.5577133333333334,0.12958666666666668,0.004135612059604773,0.09318000000000001,0.036406666666666664,0.040113333333333334,0.0019459453417845767,0.12247966666666667,0.13620166666666667,0.10586294294294302,0.03688533333333334,0.04346033333333334,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,10,50,500,0.65396,0.5757866666666667,0.07817333333333333,0.0028603497846714883,0.04174666666666667,0.03642666666666666,0.02270666666666667,0.0014339511492598325,0.07350633333333334,0.08281466666666666,0.054449609609609664,0.020460000000000006,0.025113333333333338,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,10,100,500,0.64052,0.5829466666666667,0.05757333333333334,0.0018648981029303104,0.018713333333333335,0.03886,0.013533333333333338,0.0010203059691895123,0.054459,0.06063366666666667,0.03384960960960967,0.011980000000000005,0.015293333333333338,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,10,200,500,0.63478,0.59004,0.04474000000000001,0.0013390651348291745,0.004326666666666676,0.040413333333333336,0.008820000000000003,0.0007327422771422746,0.04251300000000001,0.04694683333333334,0.021016276276276342,0.0076733333333333376,0.009980333333333341,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,25,20,500,0.7223,0.5678133333333333,0.1544866666666667,0.0038631058512653524,0.11568,0.03880666666666667,0.05130000000000001,0.0020303086453245097,0.14818599999999998,0.160607,0.13076294294294302,0.047866666666666675,0.05473366666666667,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,25,50,500,0.6900400000000001,0.5905466666666667,0.09949333333333334,0.002592355100191046,0.05789333333333333,0.04160000000000001,0.02957333333333334,0.0015320782525668922,0.09521966666666666,0.103767,0.07576960960960967,0.027086333333333337,0.03214700000000001,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,25,100,500,0.6696799999999999,0.5989666666666666,0.07071333333333334,0.0018866817733803939,0.026100000000000005,0.04461333333333333,0.019533333333333344,0.0010765449405990303,0.06770666666666668,0.07378766666666668,0.04698960960960967,0.017746333333333343,0.021293666666666676,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,25,200,500,0.66008,0.6076933333333334,0.0523866666666667,0.0011617881011927412,0.006853333333333358,0.045533333333333335,0.01338666666666668,0.0008443789542043748,0.050620000000000026,0.054336666666666686,0.028662942942943033,0.012026666666666679,0.014807000000000016,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,50,20,500,0.7527999999999999,0.57734,0.17545999999999998,0.0036154094980158685,0.13351999999999997,0.041940000000000005,0.05431333333333334,0.001956414203407041,0.16978666666666667,0.18138733333333334,0.1517362762762763,0.051219666666666684,0.05770033333333333,0.023723723723723666
subj,Qwen/Qwen2.5-1.5B-Instruct,50,50,500,0.70696,0.5968733333333334,0.11008666666666668,0.0025085084515554796,0.06388666666666667,0.046200000000000005,0.03477333333333336,0.0013388444553486792,0.10606666666666667,0.11437033333333334,0.08636294294294301,0.032646333333333354,0.03697333333333335,0.023723723723723666
