task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,50,0.08118333333333334,0.08118333333333334,0.010143277777777779,0.10071384104371046,0.725,0.21887247354052547
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,50,0.024250000000000015,0.024250000000000015,0.010490833333333333,0.10242476913976098,0.85,0.31506238717886637
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,50,-0.026044971068573276,0.026044971068573276,0.004335463059007064,0.0658442333010801,0.98,0.3427527664761321
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,50,0.02519880351069695,0.02519880351069695,0.0040442362530218314,0.0635943099107289,0.95,0.27945017253914917
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,50,0.017535333333333365,0.017535333333333365,0.005091670133333333,0.07135593972006347,0.955,0.31963219524186526
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,50,0.03932383333333334,0.03932383333333334,0.0060323451277777785,0.07766817319711967,0.815,0.21817803379911876
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,100,0.059816666666666664,0.059816666666666664,0.005121388888888889,0.07156387977806185,0.7,0.15675155945740518
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,100,0.025616666666666673,0.025616666666666673,0.004851055555555556,0.0696495194208514,0.88,0.2247194055507515
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,100,-0.016371080586186873,0.016371080586186873,0.0018328846108822841,0.04281220165889958,1.0,0.2454718484438642
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,100,0.019214259830941747,0.019214259830941747,0.0019304094352958357,0.04393642492620258,0.965,0.20112270618608302
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,100,0.022722000000000023,0.022722000000000023,0.0026508084444444445,0.05148600241273782,0.945,0.22570471786243254
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,100,0.03501341666666667,0.03501341666666667,0.0031611041680555552,0.056223697566556,0.83,0.15613453607517172
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,200,0.04854166666666668,0.04854166666666668,0.0031319861111111123,0.055964150231296396,0.575,0.11160498585267636
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,200,0.03501666666666667,0.03501666666666667,0.003198388888888889,0.05655430035716903,0.84,0.15866698717659047
